"code","name","name_eng","base_year","C행정구역별_읍면동","행정구역별_읍면동","시점","총인구_명","남자_명","여자_명","내국인_계_명","내국인_남자_명","내국인_여자_명","외국인_계_명","외국인_남자_명","외국인_여자_명","가구_계_가구","일반가구_가구","집단가구_가구","외국인가구_가구","주택_계_호","단독주택_호","아파트_호","연립주택_호","다세대주택_호","비거주용_건물내_주택_호","주택이외의_거처_호"
"39","제주특별자치도","Jeju","2010","39","제주특별자치도",2010,531905,263244,268661,528411,261521,266890,3494,1723,1771,188365,187323,243,799,159076,79910,46239,11137,18802,2988,4238
"38","경상남도","Gyeongsangnam-do","2010","38","경상남도",2010,3160154,1591430,1568724,3119571,1562686,1556885,40583,28744,11839,1165209,1151172,2081,11956,1033580,414576,558688,24737,23456,12123,16056
"37","경상북도","Gyeongsangbuk-do","2010","37","경상북도",2010,2600032,1296071,1303961,2575370,1281510,1293860,24662,14561,10101,1014345,1005349,1795,7201,933391,466948,398002,22978,30984,14479,6036
"36","전라남도","Jeollanam-do","2010","36","전라남도",2010,1741499,852513,888986,1728749,845952,882797,12750,6561,6189,684986,681431,843,2712,690508,408877,254331,12630,5625,9045,5442
"35","전라북도","Jeollabuk-do","2010","35","전라북도",2010,1777220,872724,904496,1766044,867630,898414,11176,5094,6082,663695,659946,815,2934,633477,289604,320469,14163,2838,6403,2850
"34","충청남도","Chungcheongnam-do","2010","34","충청남도",2010,2028002,1023882,1004120,2000473,1007454,993019,27529,16428,11101,758552,749035,1417,8100,716159,324720,341296,23403,18123,8617,7489
"33","충청북도","Chungcheongbuk-do","2010","33","충청북도",2010,1512157,758214,753943,1495984,748622,747362,16173,9592,6581,564614,558796,924,4894,509968,205771,272554,19048,6315,6280,3110
"32","강원도","Gangwon-do","2010","32","강원도",2010,1471513,738399,733114,1463650,735075,728575,7863,3324,4539,560589,557751,658,2180,536485,228960,270845,23434,4684,8562,3599
"31","경기도","Gyeonggi-do","2010","31","경기도",2010,11379459,5705613,5673846,11196053,5599570,5596483,183406,106043,77363,3908059,3831134,5307,71618,3217483,507417,2183845,150705,348542,26974,99810
"26","울산광역시","Ulsan","2010","26","울산광역시",2010,1082567,557694,524873,1071673,550869,520804,10894,6825,4069,377938,373633,374,3931,310952,63093,218142,6730,17716,5271,1834
"25","대전광역시","Daejeon","2010","25","대전광역시",2010,1501859,750762,751097,1490158,745150,745008,11701,5612,6089,536297,532643,478,3176,421620,81701,296250,10975,28589,4105,5261
"24","광주광역시","Gwangju","2010","24","광주광역시",2010,1475745,729330,746415,1466143,724161,741982,9602,5169,4433,518742,515855,646,2241,443925,93147,339732,4196,2997,3853,3589
"23","인천광역시","Incheon","2010","23","인천광역시",2010,2662509,1334576,1327933,2632035,1315562,1316473,30474,19014,11460,929489,918850,972,9667,822552,108315,483847,24923,197957,7510,21076
"22","대구광역시","Daegu","2010","22","대구광역시",2010,2446418,1212584,1233834,2431774,1204428,1227346,14644,8156,6488,873934,868327,553,5054,691702,166307,464960,5084,47099,8252,2555
"21","부산광역시","Busan","2010","21","부산광역시",2010,3414950,1676689,1738261,3393191,1664678,1728513,21759,12011,9748,1251756,1243880,785,7091,1031331,244570,640944,36013,97308,12496,22763
"11","서울특별시","Seoul","2010","11","서울특별시",2010,9794304,4803373,4990931,9631482,4726028,4905454,162822,77345,85477,3577497,3504297,2836,70364,2525210,405575,1485869,145914,463417,24435,97389
